Date,Series,Value
6/30/2016,Owner-occupier housing debt to income,90.8
9/30/2016,Owner-occupier housing debt to income,92
12/31/2016,Owner-occupier housing debt to income,93.1
3/31/2017,Owner-occupier housing debt to income,94.6
6/30/2017,Owner-occupier housing debt to income,96
9/30/2017,Owner-occupier housing debt to income,97.3
12/31/2017,Owner-occupier housing debt to income,98
3/31/2018,Owner-occupier housing debt to income,98.7
6/30/2018,Owner-occupier housing debt to income,99.3
9/30/2018,Owner-occupier housing debt to income,99.6
12/31/2018,Owner-occupier housing debt to income,99.7
3/31/2019,Owner-occupier housing debt to income,99.5
6/30/2019,Owner-occupier housing debt to income,99.5
9/30/2019,Owner-occupier housing debt to income,99.3
12/31/2019,Owner-occupier housing debt to income,99.8
3/31/2020,Owner-occupier housing debt to income,100.2
6/30/2020,Owner-occupier housing debt to income,100.3
9/30/2020,Owner-occupier housing debt to income,100.5
12/31/2020,Owner-occupier housing debt to income,101.1
3/31/2021,Owner-occupier housing debt to income,102.1
6/30/2021,Owner-occupier housing debt to income,103.5
9/30/2021,Owner-occupier housing debt to income,104
12/31/2021,Owner-occupier housing debt to income,104.7
3/31/2022,Owner-occupier housing debt to income,104.9
6/30/2022,Owner-occupier housing debt to income,104.9
9/30/2022,Owner-occupier housing debt to income,105.1
12/31/2022,Owner-occupier housing debt to income,105
3/31/2023,Owner-occupier housing debt to income,105
6/30/2023,Owner-occupier housing debt to income,104.4
9/30/2023,Owner-occupier housing debt to income,104.2
12/31/2023,Owner-occupier housing debt to income,103.3
3/31/2024,Owner-occupier housing debt to income,102.5
6/30/2024,Owner-occupier housing debt to income,102.2
9/30/2024,Owner-occupier housing debt to income,101.8
12/31/2024,Owner-occupier housing debt to income,101.6
3/31/2025,Owner-occupier housing debt to income,101.3
9/30/1988,Household assets to income,529.9
12/31/1988,Household assets to income,539.8
3/31/1989,Household assets to income,538.2
6/30/1989,Household assets to income,535.4
9/30/1989,Household assets to income,532.7
12/31/1989,Household assets to income,523.2
3/31/1990,Household assets to income,516.7
6/30/1990,Household assets to income,513.5
9/30/1990,Household assets to income,503.8
12/31/1990,Household assets to income,500
3/31/1991,Household assets to income,511.5
6/30/1991,Household assets to income,517.7
9/30/1991,Household assets to income,527.5
12/31/1991,Household assets to income,537
3/31/1992,Household assets to income,531.6
6/30/1992,Household assets to income,538.4
9/30/1992,Household assets to income,541.4
12/31/1992,Household assets to income,544.4
3/31/1993,Household assets to income,546.3
6/30/1993,Household assets to income,552.4
9/30/1993,Household assets to income,562.6
12/31/1993,Household assets to income,575.9
3/31/1994,Household assets to income,581
6/30/1994,Household assets to income,578
9/30/1994,Household assets to income,579.6
12/31/1994,Household assets to income,572.2
3/31/1995,Household assets to income,565.9
6/30/1995,Household assets to income,571.2
9/30/1995,Household assets to income,565.9
12/31/1995,Household assets to income,561.7
3/31/1996,Household assets to income,561.4
6/30/1996,Household assets to income,563.1
9/30/1996,Household assets to income,564.2
12/31/1996,Household assets to income,578.8
3/31/1997,Household assets to income,578.1
6/30/1997,Household assets to income,593
9/30/1997,Household assets to income,604.9
12/31/1997,Household assets to income,599.7
3/31/1998,Household assets to income,602.7
6/30/1998,Household assets to income,614.7
9/30/1998,Household assets to income,621.5
12/31/1998,Household assets to income,633.2
3/31/1999,Household assets to income,648.1
6/30/1999,Household assets to income,646.5
9/30/1999,Household assets to income,657.6
12/31/1999,Household assets to income,676.1
3/31/2000,Household assets to income,668.8
6/30/2000,Household assets to income,673.2
9/30/2000,Household assets to income,660.1
12/31/2000,Household assets to income,655
3/31/2001,Household assets to income,662.8
6/30/2001,Household assets to income,672.2
9/30/2001,Household assets to income,682.1
12/31/2001,Household assets to income,684.6
3/31/2002,Household assets to income,689.9
6/30/2002,Household assets to income,707
9/30/2002,Household assets to income,723.3
12/31/2002,Household assets to income,733.6
3/31/2003,Household assets to income,744.5
6/30/2003,Household assets to income,766.7
9/30/2003,Household assets to income,787.6
12/31/2003,Household assets to income,800.8
3/31/2004,Household assets to income,803.8
6/30/2004,Household assets to income,800.9
9/30/2004,Household assets to income,803.4
12/31/2004,Household assets to income,808.7
3/31/2005,Household assets to income,807.4
6/30/2005,Household assets to income,807
9/30/2005,Household assets to income,811.2
12/31/2005,Household assets to income,822.7
3/31/2006,Household assets to income,838.6
6/30/2006,Household assets to income,850
9/30/2006,Household assets to income,853
12/31/2006,Household assets to income,860.5
3/31/2007,Household assets to income,862.1
6/30/2007,Household assets to income,864.7
9/30/2007,Household assets to income,875.7
12/31/2007,Household assets to income,869.7
3/31/2008,Household assets to income,830.1
6/30/2008,Household assets to income,805
9/30/2008,Household assets to income,775.9
12/31/2008,Household assets to income,720.3
3/31/2009,Household assets to income,709
6/30/2009,Household assets to income,732.4
9/30/2009,Household assets to income,769.7
12/31/2009,Household assets to income,807.2
3/31/2010,Household assets to income,822.9
6/30/2010,Household assets to income,804.6
9/30/2010,Household assets to income,800.3
12/31/2010,Household assets to income,792.7
3/31/2011,Household assets to income,777.5
6/30/2011,Household assets to income,762
9/30/2011,Household assets to income,728.7
12/31/2011,Household assets to income,720.9
3/31/2012,Household assets to income,725.8
6/30/2012,Household assets to income,734.8
9/30/2012,Household assets to income,739.5
12/31/2012,Household assets to income,754.9
3/31/2013,Household assets to income,764.5
6/30/2013,Household assets to income,764.5
9/30/2013,Household assets to income,777.4
12/31/2013,Household assets to income,793.3
3/31/2014,Household assets to income,798.9
6/30/2014,Household assets to income,801.7
9/30/2014,Household assets to income,807.7
12/31/2014,Household assets to income,823.4
3/31/2015,Household assets to income,841.1
6/30/2015,Household assets to income,855
9/30/2015,Household assets to income,860.8
12/31/2015,Household assets to income,872.5
3/31/2016,Household assets to income,869.6
6/30/2016,Household assets to income,893.3
9/30/2016,Household assets to income,910.9
12/31/2016,Household assets to income,933.9
3/31/2017,Household assets to income,947.8
6/30/2017,Household assets to income,957.4
9/30/2017,Household assets to income,955.3
12/31/2017,Household assets to income,971.2
3/31/2018,Household assets to income,962.8
6/30/2018,Household assets to income,961.5
9/30/2018,Household assets to income,954
12/31/2018,Household assets to income,930.1
3/31/2019,Household assets to income,926.3
6/30/2019,Household assets to income,944.3
9/30/2019,Household assets to income,960
12/31/2019,Household assets to income,977
3/31/2020,Household assets to income,951.7
6/30/2020,Household assets to income,954.1
9/30/2020,Household assets to income,962.3
12/31/2020,Household assets to income,995.7
3/31/2021,Household assets to income,1022.1
6/30/2021,Household assets to income,1058.6
9/30/2021,Household assets to income,1098.1
12/31/2021,Household assets to income,1133.3
3/31/2022,Household assets to income,1129.3
6/30/2022,Household assets to income,1086.1
9/30/2022,Household assets to income,1059.3
12/31/2022,Household assets to income,1059.3
3/31/2023,Household assets to income,1058.7
6/30/2023,Household assets to income,1066
9/30/2023,Household assets to income,1069.4
12/31/2023,Household assets to income,1083.9
3/31/2024,Household assets to income,1088.5
6/30/2024,Household assets to income,1088.5
9/30/2024,Household assets to income,1088.6
12/31/2024,Household assets to income,1091.4
3/31/2025,Household assets to income,1082.2
9/30/1988,Housing assets to income,274.1
12/31/1988,Housing assets to income,285.5
3/31/1989,Housing assets to income,288.1
6/30/1989,Housing assets to income,286.2
9/30/1989,Housing assets to income,282.7
12/31/1989,Housing assets to income,276.7
3/31/1990,Housing assets to income,274.3
6/30/1990,Housing assets to income,274.2
9/30/1990,Housing assets to income,268.5
12/31/1990,Housing assets to income,267.3
3/31/1991,Housing assets to income,272.9
6/30/1991,Housing assets to income,275.2
9/30/1991,Housing assets to income,281.1
12/31/1991,Housing assets to income,284.3
3/31/1992,Housing assets to income,279.4
6/30/1992,Housing assets to income,283.2
9/30/1992,Housing assets to income,285.1
12/31/1992,Housing assets to income,286.7
3/31/1993,Housing assets to income,283.5
6/30/1993,Housing assets to income,286.8
9/30/1993,Housing assets to income,289.8
12/31/1993,Housing assets to income,296
3/31/1994,Housing assets to income,303.4
6/30/1994,Housing assets to income,303.3
9/30/1994,Housing assets to income,305.4
12/31/1994,Housing assets to income,303.3
3/31/1995,Housing assets to income,298
6/30/1995,Housing assets to income,298.7
9/30/1995,Housing assets to income,291.8
12/31/1995,Housing assets to income,287.6
3/31/1996,Housing assets to income,288.4
6/30/1996,Housing assets to income,290.7
9/30/1996,Housing assets to income,289.6
12/31/1996,Housing assets to income,300.9
3/31/1997,Housing assets to income,301.3
6/30/1997,Housing assets to income,308.7
9/30/1997,Housing assets to income,316.5
12/31/1997,Housing assets to income,310.9
3/31/1998,Housing assets to income,311.4
6/30/1998,Housing assets to income,317.7
9/30/1998,Housing assets to income,322.3
12/31/1998,Housing assets to income,325.1
3/31/1999,Housing assets to income,336.7
6/30/1999,Housing assets to income,334.3
9/30/1999,Housing assets to income,346
12/31/1999,Housing assets to income,354.5
3/31/2000,Housing assets to income,348.6
6/30/2000,Housing assets to income,349
9/30/2000,Housing assets to income,342.5
12/31/2000,Housing assets to income,339.7
3/31/2001,Housing assets to income,350.9
6/30/2001,Housing assets to income,354.1
9/30/2001,Housing assets to income,372.2
12/31/2001,Housing assets to income,368.4
3/31/2002,Housing assets to income,372.9
6/30/2002,Housing assets to income,389.8
9/30/2002,Housing assets to income,408.9
12/31/2002,Housing assets to income,411.2
3/31/2003,Housing assets to income,424.2
6/30/2003,Housing assets to income,439.2
9/30/2003,Housing assets to income,454.4
12/31/2003,Housing assets to income,462.9
3/31/2004,Housing assets to income,463.4
6/30/2004,Housing assets to income,456.1
9/30/2004,Housing assets to income,457.1
12/31/2004,Housing assets to income,457.6
3/31/2005,Housing assets to income,455
6/30/2005,Housing assets to income,452.1
9/30/2005,Housing assets to income,448.2
12/31/2005,Housing assets to income,452.7
3/31/2006,Housing assets to income,460.8
6/30/2006,Housing assets to income,470.5
9/30/2006,Housing assets to income,470.6
12/31/2006,Housing assets to income,471.5
3/31/2007,Housing assets to income,473.7
6/30/2007,Housing assets to income,473.1
9/30/2007,Housing assets to income,482.1
12/31/2007,Housing assets to income,483
3/31/2008,Housing assets to income,468
6/30/2008,Housing assets to income,450.4
9/30/2008,Housing assets to income,432.9
12/31/2008,Housing assets to income,396.3
3/31/2009,Housing assets to income,392.2
6/30/2009,Housing assets to income,403.5
9/30/2009,Housing assets to income,424.3
12/31/2009,Housing assets to income,455.7
3/31/2010,Housing assets to income,471.3
6/30/2010,Housing assets to income,462.9
9/30/2010,Housing assets to income,455.9
12/31/2010,Housing assets to income,448.4
3/31/2011,Housing assets to income,437.5
6/30/2011,Housing assets to income,429.7
9/30/2011,Housing assets to income,409
12/31/2011,Housing assets to income,401.9
3/31/2012,Housing assets to income,400.8
6/30/2012,Housing assets to income,399.4
9/30/2012,Housing assets to income,396.9
12/31/2012,Housing assets to income,405.5
3/31/2013,Housing assets to income,407.9
6/30/2013,Housing assets to income,413.6
9/30/2013,Housing assets to income,417.2
12/31/2013,Housing assets to income,428.5
3/31/2014,Housing assets to income,431
6/30/2014,Housing assets to income,433.7
9/30/2014,Housing assets to income,435.6
12/31/2014,Housing assets to income,445.3
3/31/2015,Housing assets to income,452
6/30/2015,Housing assets to income,467.4
9/30/2015,Housing assets to income,474.6
12/31/2015,Housing assets to income,476.7
3/31/2016,Housing assets to income,475.1
6/30/2016,Housing assets to income,484.4
9/30/2016,Housing assets to income,492.5
12/31/2016,Housing assets to income,510.1
3/31/2017,Housing assets to income,519.1
6/30/2017,Housing assets to income,529.4
9/30/2017,Housing assets to income,526.8
12/31/2017,Housing assets to income,534.8
3/31/2018,Housing assets to income,530.6
6/30/2018,Housing assets to income,522.2
9/30/2018,Housing assets to income,511.6
12/31/2018,Housing assets to income,501.1
3/31/2019,Housing assets to income,486.3
6/30/2019,Housing assets to income,487.1
9/30/2019,Housing assets to income,498.6
12/31/2019,Housing assets to income,511.4
3/31/2020,Housing assets to income,514.6
6/30/2020,Housing assets to income,504.5
9/30/2020,Housing assets to income,511.4
12/31/2020,Housing assets to income,531.2
3/31/2021,Housing assets to income,555.6
6/30/2021,Housing assets to income,581.5
9/30/2021,Housing assets to income,614.4
12/31/2021,Housing assets to income,643.9
3/31/2022,Housing assets to income,646.4
6/30/2022,Housing assets to income,631.4
9/30/2022,Housing assets to income,605.3
12/31/2022,Housing assets to income,598.8
3/31/2023,Housing assets to income,593.1
6/30/2023,Housing assets to income,601.9
9/30/2023,Housing assets to income,603.9
12/31/2023,Housing assets to income,611.4
3/31/2024,Housing assets to income,609.9
6/30/2024,Housing assets to income,614.8
9/30/2024,Housing assets to income,607.4
12/31/2024,Housing assets to income,608.2
3/31/2025,Housing assets to income,605.1
6/30/1988,Household financial assets to income,210.9
9/30/1988,Household financial assets to income,210.1
12/31/1988,Household financial assets to income,209.1
3/31/1989,Household financial assets to income,205.3
6/30/1989,Household financial assets to income,205
9/30/1989,Household financial assets to income,206.2
12/31/1989,Household financial assets to income,203.4
3/31/1990,Household financial assets to income,199.7
6/30/1990,Household financial assets to income,196.7
9/30/1990,Household financial assets to income,192.8
12/31/1990,Household financial assets to income,190
3/31/1991,Household financial assets to income,195.3
6/30/1991,Household financial assets to income,198.6
9/30/1991,Household financial assets to income,202.2
12/31/1991,Household financial assets to income,207.7
3/31/1992,Household financial assets to income,207.1
6/30/1992,Household financial assets to income,209.7
9/30/1992,Household financial assets to income,210.5
12/31/1992,Household financial assets to income,211.6
3/31/1993,Household financial assets to income,216.4
6/30/1993,Household financial assets to income,219.1
9/30/1993,Household financial assets to income,225.9
12/31/1993,Household financial assets to income,232.8
3/31/1994,Household financial assets to income,230.3
6/30/1994,Household financial assets to income,227.5
9/30/1994,Household financial assets to income,227.1
12/31/1994,Household financial assets to income,222.1
3/31/1995,Household financial assets to income,221.3
6/30/1995,Household financial assets to income,226
9/30/1995,Household financial assets to income,228
12/31/1995,Household financial assets to income,228.5
3/31/1996,Household financial assets to income,227.9
6/30/1996,Household financial assets to income,227.9
9/30/1996,Household financial assets to income,230.7
12/31/1996,Household financial assets to income,234.6
3/31/1997,Household financial assets to income,233.9
6/30/1997,Household financial assets to income,241.6
9/30/1997,Household financial assets to income,246
12/31/1997,Household financial assets to income,246.5
3/31/1998,Household financial assets to income,249
6/30/1998,Household financial assets to income,254.5
9/30/1998,Household financial assets to income,256.9
12/31/1998,Household financial assets to income,265.6
3/31/1999,Household financial assets to income,269
6/30/1999,Household financial assets to income,270.1
9/30/1999,Household financial assets to income,269.5
12/31/1999,Household financial assets to income,279.9
3/31/2000,Household financial assets to income,278.8
6/30/2000,Household financial assets to income,282.8
9/30/2000,Household financial assets to income,276.8
12/31/2000,Household financial assets to income,274.7
3/31/2001,Household financial assets to income,271.5
6/30/2001,Household financial assets to income,277.9
9/30/2001,Household financial assets to income,269.4
12/31/2001,Household financial assets to income,276
3/31/2002,Household financial assets to income,277
6/30/2002,Household financial assets to income,276.8
9/30/2002,Household financial assets to income,273.9
12/31/2002,Household financial assets to income,281.6
3/31/2003,Household financial assets to income,279.4
6/30/2003,Household financial assets to income,286.9
9/30/2003,Household financial assets to income,292.9
12/31/2003,Household financial assets to income,298.2
3/31/2004,Household financial assets to income,301
6/30/2004,Household financial assets to income,306.3
9/30/2004,Household financial assets to income,308.2
12/31/2004,Household financial assets to income,313.4
3/31/2005,Household financial assets to income,315.1
6/30/2005,Household financial assets to income,317.8
9/30/2005,Household financial assets to income,326.2
12/31/2005,Household financial assets to income,333.3
3/31/2006,Household financial assets to income,341.1
6/30/2006,Household financial assets to income,342.8
9/30/2006,Household financial assets to income,345.9
12/31/2006,Household financial assets to income,352.9
3/31/2007,Household financial assets to income,352.9
6/30/2007,Household financial assets to income,356.6
9/30/2007,Household financial assets to income,358.9
12/31/2007,Household financial assets to income,352.2
3/31/2008,Household financial assets to income,328.1
6/30/2008,Household financial assets to income,320.9
9/30/2008,Household financial assets to income,309.7
12/31/2008,Household financial assets to income,291.2
3/31/2009,Household financial assets to income,284.3
6/30/2009,Household financial assets to income,296.6
9/30/2009,Household financial assets to income,313.1
12/31/2009,Household financial assets to income,319
3/31/2010,Household financial assets to income,319.3
6/30/2010,Household financial assets to income,309.5
9/30/2010,Household financial assets to income,312.6
12/31/2010,Household financial assets to income,313
3/31/2011,Household financial assets to income,309.3
6/30/2011,Household financial assets to income,302
9/30/2011,Household financial assets to income,289.8
12/31/2011,Household financial assets to income,289.4
3/31/2012,Household financial assets to income,295.5
6/30/2012,Household financial assets to income,305.9
9/30/2012,Household financial assets to income,313.1
12/31/2012,Household financial assets to income,319.8
3/31/2013,Household financial assets to income,327.1
6/30/2013,Household financial assets to income,321.3
9/30/2013,Household financial assets to income,330.6
12/31/2013,Household financial assets to income,335.3
3/31/2014,Household financial assets to income,338.6
6/30/2014,Household financial assets to income,338.8
9/30/2014,Household financial assets to income,342.8
12/31/2014,Household financial assets to income,348.7
3/31/2015,Household financial assets to income,359.5
6/30/2015,Household financial assets to income,357.9
9/30/2015,Household financial assets to income,356.1
12/31/2015,Household financial assets to income,365.5
3/31/2016,Household financial assets to income,363.9
6/30/2016,Household financial assets to income,378
9/30/2016,Household financial assets to income,387.4
12/31/2016,Household financial assets to income,392.8
3/31/2017,Household financial assets to income,397.8
6/30/2017,Household financial assets to income,397.2
9/30/2017,Household financial assets to income,397.8
12/31/2017,Household financial assets to income,405.7
3/31/2018,Household financial assets to income,401.6
6/30/2018,Household financial assets to income,408.6
9/30/2018,Household financial assets to income,411.8
12/31/2018,Household financial assets to income,398.5
3/31/2019,Household financial assets to income,409.5
6/30/2019,Household financial assets to income,426.6
9/30/2019,Household financial assets to income,430.9
12/31/2019,Household financial assets to income,434.9
3/31/2020,Household financial assets to income,406.3
6/30/2020,Household financial assets to income,418.8
9/30/2020,Household financial assets to income,420.1
12/31/2020,Household financial assets to income,433.5
3/31/2021,Household financial assets to income,435.2
6/30/2021,Household financial assets to income,445.2
9/30/2021,Household financial assets to income,451.5
12/31/2021,Household financial assets to income,457
3/31/2022,Household financial assets to income,450.3
6/30/2022,Household financial assets to income,421.9
9/30/2022,Household financial assets to income,420.9
12/31/2022,Household financial assets to income,427.3
3/31/2023,Household financial assets to income,432.3
6/30/2023,Household financial assets to income,430.8
9/30/2023,Household financial assets to income,432.2
12/31/2023,Household financial assets to income,439.5
3/31/2024,Household financial assets to income,446
6/30/2024,Household financial assets to income,441.4
9/30/2024,Household financial assets to income,449.3
12/31/2024,Household financial assets to income,451.4
3/31/2025,Household financial assets to income,445.5
